human	lizard	chicken
ENSG00000165868	ENSACAG00000010065	ENSGALG00000009248
ENSG00000160325	ENSACAG00000022005	ENSGALG00000034132
ENSG00000135083	ENSACAG00000003244	ENSGALG00000040152
ENSG00000250821	ENSACAG00000025128	ENSGALG00000026176
ENSG00000141298	ENSACAG00000012066	ENSGALG00000021572
ENSG00000143001	ENSACAG00000000145	ENSGALG00000010801
ENSG00000198554	ENSACAG00000016303	ENSGALG00000012199
ENSG00000137818	ENSACAG00000000197	ENSGALG00000030878
ENSG00000158234	ENSACAG00000009679	ENSGALG00000012082
ENSG00000185666	ENSACAG00000014584	ENSGALG00000039889
ENSG00000100234	ENSACAG00000014730	ENSGALG00000028627
ENSG00000099821	ENSACAG00000000515	ENSGALG00000001377
ENSG00000118496	ENSACAG00000007403	ENSGALG00000041684
ENSG00000088367	ENSACAG00000001851	ENSGALG00000034171
ENSG00000090581	ENSACAG00000003410	ENSGALG00000006441
ENSG00000070669	ENSACAG00000012961	ENSGALG00000009748
ENSG00000099822	ENSACAG00000013896	ENSGALG00000001342
ENSG00000070778	ENSACAG00000013195	ENSGALG00000010616
ENSG00000081019	ENSACAG00000000150	ENSGALG00000001860
ENSG00000137700	ENSACAG00000014010	ENSGALG00000007716
ENSG00000074603	ENSACAG00000004752	ENSGALG00000007437
ENSG00000164430	ENSACAG00000004451	ENSGALG00000015925
ENSG00000073584	ENSACAG00000016067	ENSGALG00000003882
ENSG00000128581	ENSACAG00000015335	ENSGALG00000021653
ENSG00000054983	ENSACAG00000013365	ENSGALG00000010593
ENSG00000167106	ENSACAG00000015041	ENSGALG00000005074
ENSG00000185963	ENSACAG00000001554	ENSGALG00000005249
ENSG00000133275	ENSACAG00000000738	ENSGALG00000027540
ENSG00000107807	ENSACAG00000011182	ENSGALG00000007831
ENSG00000108352	ENSACAG00000002541	ENSGALG00000035690
ENSG00000137168	ENSACAG00000010591	ENSGALG00000034630
ENSG00000143164	ENSACAG00000009329	ENSGALG00000015435
ENSG00000116793	ENSACAG00000000153	ENSGALG00000001845
ENSG00000276293	ENSACAG00000013164	ENSGALG00000001610
ENSG00000167716	ENSACAG00000014723	ENSGALG00000026822
ENSG00000153885	ENSACAG00000013531	ENSGALG00000004907
ENSG00000165775	ENSACAG00000000526	ENSGALG00000029585
ENSG00000064225	ENSACAG00000010891	ENSGALG00000015252
ENSG00000099804	ENSACAG00000001127	ENSGALG00000024332
ENSG00000064270	ENSACAG00000007742	ENSGALG00000035743
ENSG00000117016	ENSACAG00000014438	ENSGALG00000003174
ENSG00000137502	ENSACAG00000001098	ENSGALG00000017248
ENSG00000104635	ENSACAG00000010758	ENSGALG00000033989
ENSG00000109610	ENSACAG00000000410	ENSGALG00000018557
ENSG00000137819	ENSACAG00000005016	ENSGALG00000008077
ENSG00000079950	ENSACAG00000010579	ENSGALG00000034374
ENSG00000143320	ENSACAG00000015454	ENSGALG00000029140
ENSG00000139537	ENSACAG00000008278	ENSGALG00000030917
ENSG00000143977	ENSACAG00000007878	ENSGALG00000028409
ENSG00000107643	ENSACAG00000011361	ENSGALG00000006109
ENSG00000182022	ENSACAG00000017532	ENSGALG00000009704
ENSG00000139737	ENSACAG00000000948	ENSGALG00000016913
ENSG00000165516	ENSACAG00000001109	ENSGALG00000012244
ENSG00000176087	ENSACAG00000013009	ENSGALG00000040041
ENSG00000162736	ENSACAG00000016223	ENSGALG00000009147
ENSG00000182004	ENSACAG00000010067	ENSGALG00000000137
ENSG00000141522	ENSACAG00000010539	ENSGALG00000008443
ENSG00000139970	ENSACAG00000015060	ENSGALG00000012006
ENSG00000064195	ENSACAG00000005130	ENSGALG00000040529
ENSG00000156453	ENSACAG00000024549	ENSGALG00000002553
ENSG00000108219	ENSACAG00000001509	ENSGALG00000002414
ENSG00000100767	ENSACAG00000016156	ENSGALG00000009315
ENSG00000055208	ENSACAG00000006999	ENSGALG00000012356
ENSG00000071246	ENSACAG00000017090	ENSGALG00000043036
ENSG00000040933	ENSACAG00000012423	ENSGALG00000029709
ENSG00000105605	ENSACAG00000016542	ENSGALG00000042886
ENSG00000166847	ENSACAG00000001805	ENSGALG00000006088
ENSG00000162373	ENSACAG00000010653	ENSGALG00000010505
ENSG00000183605	ENSACAG00000016888	ENSGALG00000009350
ENSG00000066739	ENSACAG00000013291	ENSGALG00000042088
ENSG00000067829	ENSACAG00000008220	ENSGALG00000029663
ENSG00000180879	ENSACAG00000011328	ENSGALG00000032485
ENSG00000112309	ENSACAG00000008491	ENSGALG00000031590
ENSG00000120318	ENSACAG00000011400	ENSGALG00000002562
ENSG00000147642	ENSACAG00000002527	ENSGALG00000036527
ENSG00000165629	ENSACAG00000004215	ENSGALG00000006753
ENSG00000123977	ENSACAG00000014780	ENSGALG00000002992
ENSG00000166189	ENSACAG00000012311	ENSGALG00000020741
ENSG00000185009	ENSACAG00000008930	ENSGALG00000005070
ENSG00000172893	ENSACAG00000015826	ENSGALG00000004106
ENSG00000106665	ENSACAG00000000816	ENSGALG00000030450
ENSG00000077585	ENSACAG00000002344	ENSGALG00000010843
ENSG00000149557	ENSACAG00000000745	ENSGALG00000038885
ENSG00000198700	ENSACAG00000005261	ENSGALG00000000397
ENSG00000049541	ENSACAG00000000704	ENSGALG00000029449
ENSG00000147383	ENSACAG00000015812	ENSGALG00000007493
ENSG00000130653	ENSACAG00000025275	ENSGALG00000008736
ENSG00000132388	ENSACAG00000015063	ENSGALG00000001441
ENSG00000204219	ENSACAG00000005034	ENSGALG00000038170
ENSG00000144668	ENSACAG00000009703	ENSGALG00000029378
ENSG00000127241	ENSACAG00000006732	ENSGALG00000007419
ENSG00000165458	ENSACAG00000015570	ENSGALG00000004336
ENSG00000182050	ENSACAG00000011183	ENSGALG00000028360
ENSG00000120805	ENSACAG00000011602	ENSGALG00000011651
ENSG00000116703	ENSACAG00000001373	ENSGALG00000030417
ENSG00000183379	ENSACAG00000016466	ENSGALG00000010233
ENSG00000174231	ENSACAG00000014784	ENSGALG00000002943
ENSG00000257108	ENSACAG00000010088	ENSGALG00000045317
ENSG00000198909	ENSACAG00000012612	ENSGALG00000000525
ENSG00000168994	ENSACAG00000017660	ENSGALG00000012814
ENSG00000239305	ENSACAG00000011597	ENSGALG00000015809
ENSG00000156206	ENSACAG00000011399	ENSGALG00000021183
ENSG00000153561	ENSACAG00000011511	ENSGALG00000015815
ENSG00000100523	ENSACAG00000006568	ENSGALG00000012426
ENSG00000179562	ENSACAG00000007449	ENSGALG00000033149
ENSG00000141295	ENSACAG00000006837	ENSGALG00000035853
ENSG00000184588	ENSACAG00000010815	ENSGALG00000011094
ENSG00000140406	ENSACAG00000011433	ENSGALG00000006399
ENSG00000183814	ENSACAG00000006122	ENSGALG00000009233
ENSG00000136891	ENSACAG00000008774	ENSGALG00000013438
ENSG00000117480	ENSACAG00000002040	ENSGALG00000010433
ENSG00000196104	ENSACAG00000016126	ENSGALG00000009568
ENSG00000059758	ENSACAG00000013452	ENSGALG00000011456
ENSG00000115902	ENSACAG00000001717	ENSGALG00000008811
ENSG00000077514	ENSACAG00000014267	ENSGALG00000017307
ENSG00000176769	ENSACAG00000008136	ENSGALG00000010470
ENSG00000112182	ENSACAG00000014366	ENSGALG00000015605
ENSG00000144837	ENSACAG00000003503	ENSGALG00000014997
ENSG00000065882	ENSACAG00000007199	ENSGALG00000039380
ENSG00000146374	ENSACAG00000028428	ENSGALG00000042607
ENSG00000145147	ENSACAG00000001304	ENSGALG00000041121
ENSG00000115685	ENSACAG00000001909	ENSGALG00000031766
ENSG00000088543	ENSACAG00000007133	ENSGALG00000002240
ENSG00000127022	ENSACAG00000016222	ENSGALG00000032148
ENSG00000140943	ENSACAG00000012864	ENSGALG00000003293
ENSG00000118200	ENSACAG00000006193	ENSGALG00000002145
ENSG00000103888	ENSACAG00000011453	ENSGALG00000006413
ENSG00000134744	ENSACAG00000008282	ENSGALG00000010629
ENSG00000133030	ENSACAG00000001145	ENSGALG00000004798
ENSG00000189233	ENSACAG00000011218	ENSGALG00000045940
ENSG00000131944	ENSACAG00000007273	ENSGALG00000034534
ENSG00000213079	ENSACAG00000005282	ENSGALG00000013635
ENSG00000166260	ENSACAG00000017410	ENSGALG00000027190
ENSG00000138744	ENSACAG00000012775	ENSGALG00000011529
ENSG00000137692	ENSACAG00000012400	ENSGALG00000017181
ENSG00000134183	ENSACAG00000011216	ENSGALG00000038084
ENSG00000160051	ENSACAG00000004585	ENSGALG00000030701
ENSG00000102271	ENSACAG00000011367	ENSGALG00000006877
ENSG00000151322	ENSACAG00000002620	ENSGALG00000029022
ENSG00000115091	ENSACAG00000002564	ENSGALG00000012159
ENSG00000169180	ENSACAG00000016883	ENSGALG00000035360
ENSG00000116984	ENSACAG00000002970	ENSGALG00000014464
ENSG00000143815	ENSACAG00000005649	ENSGALG00000009305
ENSG00000112200	ENSACAG00000006590	ENSGALG00000016282
ENSG00000111144	ENSACAG00000013672	ENSGALG00000033709
ENSG00000166889	ENSACAG00000006607	ENSGALG00000042641
ENSG00000134684	ENSACAG00000003568	ENSGALG00000003563
ENSG00000071564	ENSACAG00000017728	ENSGALG00000001093
ENSG00000113100	ENSACAG00000000244	ENSGALG00000012923
ENSG00000183798	ENSACAG00000011588	ENSGALG00000030012
ENSG00000119514	ENSACAG00000002302	ENSGALG00000013197
ENSG00000100036	ENSACAG00000009775	ENSGALG00000028106
ENSG00000077522	ENSACAG00000002769	ENSGALG00000014463
ENSG00000172057	ENSACAG00000003273	ENSGALG00000029142
ENSG00000166313	ENSACAG00000012505	ENSGALG00000046164
ENSG00000165138	ENSACAG00000002349	ENSGALG00000013196
ENSG00000146433	ENSACAG00000004823	ENSGALG00000013737
ENSG00000091138	ENSACAG00000015236	ENSGALG00000007959
ENSG00000164463	ENSACAG00000015164	ENSGALG00000002878
ENSG00000163399	ENSACAG00000003402	ENSGALG00000032247
ENSG00000136457	ENSACAG00000005236	ENSGALG00000019761
ENSG00000176148	ENSACAG00000002746	ENSGALG00000011688
ENSG00000198055	ENSACAG00000006133	ENSGALG00000014054
ENSG00000096717	ENSACAG00000010558	ENSGALG00000002761
ENSG00000232258	ENSACAG00000006949	ENSGALG00000039005
ENSG00000198836	ENSACAG00000011069	ENSGALG00000007150
ENSG00000143862	ENSACAG00000004202	ENSGALG00000000606
ENSG00000249581	ENSACAG00000011194	ENSGALG00000027453
ENSG00000134160	ENSACAG00000002770	ENSGALG00000003849
ENSG00000176040	ENSACAG00000015173	ENSGALG00000015389
ENSG00000155966	ENSACAG00000010688	ENSGALG00000009168
ENSG00000168542	ENSACAG00000015062	ENSGALG00000035584
ENSG00000118217	ENSACAG00000001336	ENSGALG00000032278
ENSG00000114942	ENSACAG00000001423	ENSGALG00000008590
ENSG00000151704	ENSACAG00000016268	ENSGALG00000001167
ENSG00000108387	ENSACAG00000007517	ENSGALG00000035185
ENSG00000087884	ENSACAG00000001888	ENSGALG00000041949
ENSG00000156427	ENSACAG00000025540	ENSGALG00000002203
ENSG00000140262	ENSACAG00000014277	ENSGALG00000004304
ENSG00000075618	ENSACAG00000011681	ENSGALG00000021128
ENSG00000172260	ENSACAG00000004220	ENSGALG00000011350
ENSG00000107614	ENSACAG00000005072	ENSGALG00000008686
ENSG00000182810	ENSACAG00000009755	ENSGALG00000003415
ENSG00000166415	ENSACAG00000012021	ENSGALG00000004545
ENSG00000250067	ENSACAG00000013111	ENSGALG00000041897
ENSG00000136630	ENSACAG00000002042	ENSGALG00000037257
ENSG00000144827	ENSACAG00000015132	ENSGALG00000015378
ENSG00000198729	ENSACAG00000006718	ENSGALG00000041575
ENSG00000111863	ENSACAG00000008530	ENSGALG00000032683
ENSG00000143507	ENSACAG00000002102	ENSGALG00000009450
ENSG00000109956	ENSACAG00000000592	ENSGALG00000001611
ENSG00000108587	ENSACAG00000011526	ENSGALG00000004326
ENSG00000070371	ENSACAG00000002301	ENSGALG00000041760
ENSG00000106443	ENSACAG00000013266	ENSGALG00000038041
ENSG00000144834	ENSACAG00000015148	ENSGALG00000015379
ENSG00000114446	ENSACAG00000006606	ENSGALG00000015356
ENSG00000108641	ENSACAG00000008466	ENSGALG00000005096
ENSG00000198739	ENSACAG00000010660	ENSGALG00000002864
ENSG00000108821	ENSACAG00000005084	ENSGALG00000041555
ENSG00000183230	ENSACAG00000010620	ENSGALG00000002845
ENSG00000148516	ENSACAG00000007353	ENSGALG00000007260
ENSG00000132294	ENSACAG00000007687	ENSGALG00000039533
ENSG00000135334	ENSACAG00000014837	ENSGALG00000015791
ENSG00000196235	ENSACAG00000000375	ENSGALG00000039160
ENSG00000072736	ENSACAG00000009839	ENSGALG00000003396
ENSG00000135506	ENSACAG00000007233	ENSGALG00000032035
ENSG00000115944	ENSACAG00000014437	ENSGALG00000037996
ENSG00000185621	ENSACAG00000009772	ENSGALG00000012067
ENSG00000111907	ENSACAG00000001702	ENSGALG00000014843
ENSG00000276234	ENSACAG00000014400	ENSGALG00000005452
ENSG00000180113	ENSACAG00000013170	ENSGALG00000044279
ENSG00000157557	ENSACAG00000009269	ENSGALG00000016059
ENSG00000146070	ENSACAG00000013175	ENSGALG00000016713
ENSG00000175581	ENSACAG00000006382	ENSGALG00000017319
ENSG00000138795	ENSACAG00000008050	ENSGALG00000031960
ENSG00000164983	ENSACAG00000009965	ENSGALG00000037371
ENSG00000206422	ENSACAG00000010004	ENSGALG00000042652
ENSG00000103126	ENSACAG00000015327	ENSGALG00000029402
ENSG00000169297	ENSACAG00000007218	ENSGALG00000016287
ENSG00000145246	ENSACAG00000007038	ENSGALG00000014192
ENSG00000005379	ENSACAG00000005303	ENSGALG00000042533
ENSG00000075336	ENSACAG00000003778	ENSGALG00000013709
ENSG00000120280	ENSACAG00000007229	ENSGALG00000016286
ENSG00000181458	ENSACAG00000011528	ENSGALG00000015293
ENSG00000166033	ENSACAG00000017367	ENSGALG00000041140
ENSG00000172889	ENSACAG00000028678	ENSGALG00000043499
ENSG00000140545	ENSACAG00000000426	ENSGALG00000006702
ENSG00000084764	ENSACAG00000008257	ENSGALG00000031726
ENSG00000164932	ENSACAG00000009420	ENSGALG00000033351
ENSG00000020181	ENSACAG00000005899	ENSGALG00000003118
ENSG00000186732	ENSACAG00000029062	ENSGALG00000014186
ENSG00000169764	ENSACAG00000005960	ENSGALG00000008855
ENSG00000115112	ENSACAG00000004268	ENSGALG00000011635
ENSG00000182162	ENSACAG00000027507	ENSGALG00000016687
ENSG00000172113	ENSACAG00000008333	ENSGALG00000038044
ENSG00000168874	ENSACAG00000006693	ENSGALG00000033083
ENSG00000186714	ENSACAG00000002639	ENSGALG00000012103
ENSG00000105711	ENSACAG00000005745	ENSGALG00000034895
ENSG00000082516	ENSACAG00000003900	ENSGALG00000003937
ENSG00000104221	ENSACAG00000000225	ENSGALG00000003124
ENSG00000172005	ENSACAG00000014565	ENSGALG00000008552
ENSG00000186976	ENSACAG00000015689	ENSGALG00000014188
ENSG00000168675	ENSACAG00000013183	ENSGALG00000013886
ENSG00000009765	ENSACAG00000006702	ENSGALG00000012392
ENSG00000174473	ENSACAG00000005382	ENSGALG00000030588
ENSG00000076716	ENSACAG00000009010	ENSGALG00000006080
ENSG00000170242	ENSACAG00000004976	ENSGALG00000005569
ENSG00000183378	ENSACAG00000004288	ENSGALG00000005318
ENSG00000111906	ENSACAG00000001787	ENSGALG00000014841
ENSG00000078053	ENSACAG00000017651	ENSGALG00000032958
ENSG00000242689	ENSACAG00000006800	ENSGALG00000026207
ENSG00000154493	ENSACAG00000007157	ENSGALG00000036689
ENSG00000171126	ENSACAG00000014457	ENSGALG00000009919
ENSG00000151694	ENSACAG00000001356	ENSGALG00000016427
ENSG00000145416	ENSACAG00000005144	ENSGALG00000009520
ENSG00000147684	ENSACAG00000010022	ENSGALG00000042242
ENSG00000075073	ENSACAG00000009276	ENSGALG00000004248
ENSG00000164933	ENSACAG00000009436	ENSGALG00000039882
ENSG00000170248	ENSACAG00000013370	ENSGALG00000033500
ENSG00000121481	ENSACAG00000002433	ENSGALG00000037219
ENSG00000132669	ENSACAG00000005226	ENSGALG00000008457
ENSG00000118434	ENSACAG00000014826	ENSGALG00000043839
ENSG00000170807	ENSACAG00000000951	ENSGALG00000008805
ENSG00000213347	ENSACAG00000005688	ENSGALG00000046263
ENSG00000164934	ENSACAG00000009465	ENSGALG00000034618
ENSG00000170873	ENSACAG00000010026	ENSGALG00000041969
ENSG00000217236	ENSACAG00000005550	ENSGALG00000043079
ENSG00000197635	ENSACAG00000014197	ENSGALG00000042452
ENSG00000100142	ENSACAG00000015288	ENSGALG00000012291
ENSG00000173218	ENSACAG00000003153	ENSGALG00000015025
ENSG00000134330	ENSACAG00000001615	ENSGALG00000016425
ENSG00000120440	ENSACAG00000027036	ENSGALG00000011344
ENSG00000088882	ENSACAG00000000222	ENSGALG00000040759
ENSG00000152128	ENSACAG00000002453	ENSGALG00000012190
ENSG00000170456	ENSACAG00000012799	ENSGALG00000012944
ENSG00000109586	ENSACAG00000005432	ENSGALG00000010744
ENSG00000077150	ENSACAG00000014215	ENSGALG00000005653
ENSG00000169230	ENSACAG00000005677	ENSGALG00000002990
ENSG00000086696	ENSACAG00000011496	ENSGALG00000005467
ENSG00000143771	ENSACAG00000005510	ENSGALG00000038397
ENSG00000048649	ENSACAG00000001901	ENSGALG00000039068
ENSG00000059378	ENSACAG00000016815	ENSGALG00000046187
ENSG00000100146	ENSACAG00000015274	ENSGALG00000012290
ENSG00000151552	ENSACAG00000011209	ENSGALG00000030070
ENSG00000162769	ENSACAG00000028528	ENSGALG00000009807
ENSG00000141314	ENSACAG00000009768	ENSGALG00000003426
ENSG00000145526	ENSACAG00000015923	ENSGALG00000036097
ENSG00000164070	ENSACAG00000011636	ENSGALG00000010185
ENSG00000103227	ENSACAG00000006136	ENSGALG00000044187
ENSG00000114126	ENSACAG00000005086	ENSGALG00000025759
ENSG00000069424	ENSACAG00000002793	ENSGALG00000037241
ENSG00000169228	ENSACAG00000005638	ENSGALG00000002984
ENSG00000128346	ENSACAG00000015313	ENSGALG00000012293
ENSG00000128944	ENSACAG00000014047	ENSGALG00000039576
ENSG00000110436	ENSACAG00000004365	ENSGALG00000037556
ENSG00000103067	ENSACAG00000009900	ENSGALG00000003374
ENSG00000082515	ENSACAG00000003875	ENSGALG00000003919
ENSG00000170860	ENSACAG00000013503	ENSGALG00000031139
ENSG00000164880	ENSACAG00000011083	ENSGALG00000004104
ENSG00000086504	ENSACAG00000015301	ENSGALG00000007473
ENSG00000108666	ENSACAG00000009831	ENSGALG00000003434
ENSG00000135776	ENSACAG00000001130	ENSGALG00000011096
ENSG00000118432	ENSACAG00000014820	ENSGALG00000037511
ENSG00000154767	ENSACAG00000013515	ENSGALG00000006357
ENSG00000134954	ENSACAG00000016330	ENSGALG00000001143
ENSG00000100395	ENSACAG00000005056	ENSGALG00000011976
ENSG00000120278	ENSACAG00000006603	ENSGALG00000012395
ENSG00000174225	ENSACAG00000007937	ENSGALG00000006636
ENSG00000114638	ENSACAG00000004662	ENSGALG00000015079
ENSG00000176160	ENSACAG00000000662	ENSGALG00000001031
ENSG00000126950	ENSACAG00000007962	ENSGALG00000005041
ENSG00000165716	ENSACAG00000007163	ENSGALG00000002437
ENSG00000054356	ENSACAG00000013525	ENSGALG00000033811
ENSG00000078269	ENSACAG00000004945	ENSGALG00000013727
ENSG00000102606	ENSACAG00000006216	ENSGALG00000031009
ENSG00000108389	ENSACAG00000000440	ENSGALG00000001042
ENSG00000118017	ENSACAG00000009237	ENSGALG00000006600
ENSG00000197976	ENSACAG00000005956	ENSGALG00000016686
ENSG00000147687	ENSACAG00000009985	ENSGALG00000041072
ENSG00000100029	ENSACAG00000009723	ENSGALG00000007778
ENSG00000169851	ENSACAG00000002164	ENSGALG00000033883
ENSG00000268279	ENSACAG00000013570	ENSGALG00000006345
ENSG00000154114	ENSACAG00000002788	ENSGALG00000018819
ENSG00000198586	ENSACAG00000016530	ENSGALG00000009569
ENSG00000142949	ENSACAG00000013535	ENSGALG00000010053
ENSG00000010244	ENSACAG00000009864	ENSGALG00000003454
ENSG00000102858	ENSACAG00000004772	ENSGALG00000037492
ENSG00000119396	ENSACAG00000008285	ENSGALG00000001474
ENSG00000099937	ENSACAG00000002257	ENSGALG00000039239
ENSG00000166347	ENSACAG00000003747	ENSGALG00000013708
ENSG00000169223	ENSACAG00000006510	ENSGALG00000033232
ENSG00000099940	ENSACAG00000002278	ENSGALG00000040128
ENSG00000023228	ENSACAG00000001471	ENSGALG00000008606
ENSG00000067225	ENSACAG00000011445	ENSGALG00000001992
ENSG00000108176	ENSACAG00000010593	ENSGALG00000002769
ENSG00000187094	ENSACAG00000004398	ENSGALG00000029788
ENSG00000241973	ENSACAG00000001761	ENSGALG00000040756
ENSG00000082258	ENSACAG00000002335	ENSGALG00000012207
ENSG00000132485	ENSACAG00000004293	ENSGALG00000011340
ENSG00000161405	ENSACAG00000003308	ENSGALG00000013481
ENSG00000139445	ENSACAG00000011719	ENSGALG00000005062
ENSG00000152977	ENSACAG00000006947	ENSGALG00000040532
ENSG00000149177	ENSACAG00000000068	ENSGALG00000006382
ENSG00000151702	ENSACAG00000016270	ENSGALG00000001161
ENSG00000183166	ENSACAG00000000491	ENSGALG00000001122
ENSG00000135801	ENSACAG00000001237	ENSGALG00000011098
ENSG00000121486	ENSACAG00000002342	ENSGALG00000033077
ENSG00000163818	ENSACAG00000014164	ENSGALG00000033928
ENSG00000108239	ENSACAG00000007669	ENSGALG00000034044
ENSG00000130589	ENSACAG00000011519	ENSGALG00000006138
ENSG00000087502	ENSACAG00000008262	ENSGALG00000007183
ENSG00000153086	ENSACAG00000002398	ENSGALG00000012197
ENSG00000119969	ENSACAG00000028785	ENSGALG00000005451
ENSG00000120645	ENSACAG00000000037	ENSGALG00000012975
ENSG00000276023	ENSACAG00000014395	ENSGALG00000027641
ENSG00000136938	ENSACAG00000004336	ENSGALG00000037483
ENSG00000135763	ENSACAG00000001285	ENSGALG00000011101
ENSG00000177483	ENSACAG00000015938	ENSGALG00000003836
ENSG00000138231	ENSACAG00000016760	ENSGALG00000043797
ENSG00000173585	ENSACAG00000022630	ENSGALG00000011808
ENSG00000107872	ENSACAG00000014128	ENSGALG00000005684
ENSG00000170881	ENSACAG00000009979	ENSGALG00000032734
ENSG00000155313	ENSACAG00000010500	ENSGALG00000015693
ENSG00000121101	ENSACAG00000013581	ENSGALG00000005037
ENSG00000059915	ENSACAG00000014133	ENSGALG00000042551
ENSG00000033867	ENSACAG00000013876	ENSGALG00000011405
ENSG00000095951	ENSACAG00000008494	ENSGALG00000012739
ENSG00000169282	ENSACAG00000000831	ENSGALG00000010269
ENSG00000156475	ENSACAG00000014256	ENSGALG00000007565
ENSG00000198576	ENSACAG00000016209	ENSGALG00000016154
ENSG00000167470	ENSACAG00000000427	ENSGALG00000033150
ENSG00000138433	ENSACAG00000005518	ENSGALG00000014276
ENSG00000149262	ENSACAG00000001754	ENSGALG00000000091
ENSG00000175575	ENSACAG00000006390	ENSGALG00000017318
ENSG00000125247	ENSACAG00000003482	ENSGALG00000016870
ENSG00000143494	ENSACAG00000006244	ENSGALG00000020067
ENSG00000143512	ENSACAG00000002130	ENSGALG00000045729
ENSG00000123094	ENSACAG00000000388	ENSGALG00000014041
ENSG00000078401	ENSACAG00000008461	ENSGALG00000012735
ENSG00000169683	ENSACAG00000010215	ENSGALG00000002877
ENSG00000133706	ENSACAG00000013916	ENSGALG00000007494
ENSG00000198561	ENSACAG00000006926	ENSGALG00000007330
ENSG00000181045	ENSACAG00000015684	ENSGALG00000007018
ENSG00000168676	ENSACAG00000002547	ENSGALG00000044087
ENSG00000141519	ENSACAG00000015957	ENSGALG00000007042
ENSG00000163485	ENSACAG00000004809	ENSGALG00000000168
ENSG00000113578	ENSACAG00000013427	ENSGALG00000031255
ENSG00000131013	ENSACAG00000006936	ENSGALG00000012364
ENSG00000108561	ENSACAG00000007147	ENSGALG00000001654
ENSG00000150768	ENSACAG00000022510	ENSGALG00000007904
ENSG00000108669	ENSACAG00000016295	ENSGALG00000007093
ENSG00000075388	ENSACAG00000016070	ENSGALG00000007562
ENSG00000143774	ENSACAG00000006879	ENSGALG00000005336
ENSG00000167874	ENSACAG00000004482	ENSGALG00000001534
ENSG00000211456	ENSACAG00000014430	ENSGALG00000040902
ENSG00000167941	ENSACAG00000004803	ENSGALG00000009929
ENSG00000109814	ENSACAG00000007185	ENSGALG00000041993
ENSG00000162851	ENSACAG00000011940	ENSGALG00000010651
ENSG00000153395	ENSACAG00000000821	ENSGALG00000013189
ENSG00000125898	ENSACAG00000011109	ENSGALG00000046425
ENSG00000167881	ENSACAG00000007917	ENSGALG00000002062
ENSG00000278259	ENSACAG00000009314	ENSGALG00000005374
ENSG00000101074	ENSACAG00000016782	ENSGALG00000046204
ENSG00000118492	ENSACAG00000007271	ENSGALG00000012317
